id,street_number,unit,street_name,city,district,state,state_code,zip_code
1,41355,,DOLLY VARDEN WAY,SOLDOTNA,,Alaska,AK,99669
2,1512,,WEST RIVER DR,Eagle River,,Alaska,AK,99577
3,18178,,E E Walling Rd Rd,PALMER,Matanuska-Susitna Borough,Alaska,AK,
4,39500,,HOPKINS ALY 0 182500 222000,0,,Alaska,AK,
5,6023,,GLENKERRY DR,Anchorage,,Alaska,AK,99504
6,5323,,CONNIE CIR,MONTGOMERY,,Alabama,AL,36108
7,311,,CLAY HILL RD.,THOMASVILLE,,Alabama,AL,
8,574,,DUNCAN ROAD,FALKVILLE,,Alabama,AL,35622
9,393,,PANDOREA DR.,LINDEN,,Alabama,AL,
10,2311,,BROOKSIDE DR SE,DECATUR,,Alabama,AL,35601
11,6780,,Oakwood Dr,Boone County,,Arkansas,AR,72662
12,14483,,T Z Ranch Dr,Boone County,,Arkansas,AR,72644
13,4703,,Pollock Rd,Boone County,,Arkansas,AR,72601
14,801,,W 6th St,Hope,Hempstead,Arkansas,AR,71801
15,101,APT 405,LONG ISLAND DR,HOT SPRINGS,,Arkansas,AR,71913
16,5210,,East DAPHNE Lane,Flagstaff,Coconino County,Arizona,AZ,86005
17,3935,1081,East Rough Rider Road,Boulder Hills,Maricopa County,Arizona,AZ,85050
18,13211,,South Shore Parkway,Unincorporated,Mohave County,Arizona,AZ,86436
19,2462,,CLEAR CREEK Drive,Blue Ridge,Coconino County,Arizona,AZ,86024
20,3619,,North San Pedro Road,Unincorporated,Mohave County,Arizona,AZ,86413
21,4013,,CAPELLA DR,VANDENBERG VILLAGE,,California,CA,93436
22,630,,CASTILLO ST,SANTA BARBARA,,California,CA,93101
23,411,C,N H ST,LOMPOC,,California,CA,93436
24,1454,,TOPANGA LN,LINCOLN,,California,CA,95648
25,360,,N CIVIC DR,WALNUT CREEK,,California,CA,94596
26,8201,59,S SANTA FE DR,LITTLETON,,Colorado,CO,80120-5519
27,265,,GEORGES LN,COLUMBINE RANCH,TELLER COUNTY,Colorado,CO,80863
28,1440,,STOCKYARD RD,PUEBLO,,Colorado,CO,81001
29,843,,DANDY JIM DR,CRIPPLE CREEK MTN ESTATES,TELLER COUNTY,Colorado,CO,80813
30,705,APT 911,HUNTER DR,PUEBLO,,Colorado,CO,81001
